Step,Susceptible,Infected,Removed,R0,Viral Load Tree,Incidence,Recovery,Days,Incidence Sum,Incidence Days
871,9491,464,45,5,"{(8969, 5748): (67.09, 85.62, 8476.151879844427, 870, 92), (5266, 490): (63.37, 185.57, 18578.190283823224, 870, 73), (6136, 7561): (205.8, 244.24, 24488.29450463618, 870, 66), (5426, 9595): (283.48, 90.31, 9148.073092472852, 870, 91)}",4.0,0.0,29.033333333333335,4.0,0
872,9485,469,46,5,"{(6426, 2530): (114.57, 267.27, 26872.46890167389, 871, 64), (476, 2125): (89.58, 126.98, 12756.475480679002, 871, 82), (6930, 936): (102.71, 263.36, 26541.832326425672, 871, 65), (9882, 5579): (248.88, 285.01, 28553.37447419263, 871, 63), (9021, 6824): (306.59, 253.21, 25554.76596271068, 871, 66), (39, 5876): (180.9, 248.37, 24981.506158100237, 871, 66)}",6.0,1.0,29.066666666666666,6.0,0
873,9481,472,47,5,"{(2636, 8099): (66.33, 220.17, 22048.749896446832, 872, 69), (7131, 1688): (226.56, 62.32, 6154.108268357242, 872, 100), (2164, 9961): (203.76, 220.42, 22086.299647117525, 872, 69), (9562, 2914): (273.61, 273.86, 27505.476875717133, 872, 64)}",4.0,1.0,29.1,4.0,0
874,9479,474,47,5,"{(641, 2392): (107.28, 168.47, 16824.2585184552, 873, 75), (5426, 1714): (283.48, 102.04, 10199.05922159619, 873, 88)}",2.0,0.0,29.133333333333333,2.0,0
875,9476,477,47,5,"{(7582, 6205): (258.04, 74.22, 7503.83970381155, 874, 96), (8262, 5623): (56.89, 123.4, 12343.902538332293, 874, 83), (6687, 5410): (91.97, 146.1, 14592.632829671937, 874, 79)}",3.0,0.0,29.166666666666668,3.0,0
876,9475,478,47,5,"{(2166, 9375): (83.84, 75.4, 7613.9721220020665, 875, 95)}",1.0,0.0,29.2,1.0,0
877,9470,483,47,5,"{(1712, 7913): (114.49, 184.9, 18507.375921106683, 876, 73), (5669, 3518): (110.01, 138.25, 13790.247131629261, 876, 80), (389, 4868): (57.76, 84.6, 8247.415176254886, 876, 92), (8746, 2455): (171.09, 139.53, 13771.360128607977, 876, 80), (641, 2147): (107.28, 183.79, 18116.612859235833, 876, 73)}",5.0,0.0,29.233333333333334,5.0,0
878,9467,486,47,5,"{(6101, 7359): (218.59, 253.01, 25341.273184802427, 877, 66), (2918, 4457): (261.89, 286.42, 28573.511855097913, 877, 63), (8746, 9691): (171.09, 141.78, 14196.095942679265, 877, 80)}",3.0,0.0,29.266666666666666,3.0,0
879,9464,489,47,5,"{(1674, 1219): (119.4, 77.66, 7730.003572050748, 878, 94), (1950, 5620): (228.08, 294.15, 29411.31646129136, 878, 62), (7770, 8026): (119.33, 226.42, 22480.43424684428, 878, 68)}",3.0,0.0,29.3,3.0,0
880,9462,490,48,5,"{(66, 9656): (138.17, 69.55, 6858.451896887738, 879, 97), (795, 6869): (113.58, 134.44, 13505.639230367982, 879, 81)}",2.0,1.0,29.333333333333332,2.0,0
881,9459,493,48,5,"{(9562, 1512): (273.61, 233.89, 23603.871389803815, 880, 68), (1524, 1530): (69.64, 61.78, 6270.387317111456, 880, 100), (26, 9773): (95.69, 165.85, 16700.68397086025, 880, 76)}",3.0,0.0,29.366666666666667,3.0,0
882,9457,495,48,5,"{(5216, 5843): (170.29, 172.79, 17460.669386698544, 881, 75), (7580, 2493): (258.56, 97.39, 9739.595504897647, 881, 89)}",2.0,0.0,29.4,2.0,0
883,9454,498,48,5,"{(9737, 3144): (57.72, 175.41, 17465.0214317859, 882, 74), (7770, 1002): (119.33, 241.04, 24047.93532768373, 882, 67), (7292, 3967): (72.38, 144.94, 14655.810952147254, 882, 79)}",3.0,0.0,29.433333333333334,3.0,0
884,9448,504,48,5,"{(8230, 2113): (254.8, 149.33, 14874.466229985499, 883, 78), (5045, 4780): (203.74, 289.45, 28717.903484986204, 883, 62), (8263, 1375): (228.11, 115.26, 11321.974719251935, 883, 85), (1557, 234): (164.78, 218.17, 21854.011028250523, 883, 69), (5450, 673): (306.86, 311.59, 31253.875360874943, 883, 61), (6333, 763): (53.15, 50.81, 5054.898129942248, 883, 105)}",6.0,0.0,29.466666666666665,6.0,0
885,9447,505,48,5,"{(7021, 5380): (238.59, 220.21, 21862.10223534828, 884, 69)}",1.0,0.0,29.5,1.0,0
886,9444,508,48,5,"{(8746, 6164): (171.09, 178.58, 17799.02976589076, 885, 74), (5184, 9152): (200.08, 264.89, 26865.49300524815, 885, 65), (1674, 7809): (119.4, 98.59, 9838.762884773987, 885, 88)}",3.0,0.0,29.533333333333335,3.0,0
887,9442,510,48,5,"{(4987, 283): (75.04, 59.35, 5822.607672048301, 886, 101), (1524, 4671): (69.64, 76.27, 7720.224610551035, 886, 95)}",2.0,0.0,29.566666666666666,2.0,0
888,9440,512,48,5,"{(5315, 6864): (143.49, 139.66, 13890.181694683013, 887, 80), (2603, 9551): (252.45, 99.95, 9881.621923632949, 887, 88)}",2.0,0.0,29.6,2.0,0
889,9438,514,48,5,"{(6426, 3074): (114.57, 208.41, 20781.20457202019, 888, 70), (4919, 2029): (53.18, 216.42, 21516.214295423633, 888, 69)}",2.0,0.0,29.633333333333333,2.0,0
890,9435,517,48,5,"{(2558, 9026): (211.15, 79.38, 8112.3978402200955, 889, 94), (2154, 6523): (78.52, 191.35, 19106.455495256396, 889, 72), (7052, 8536): (262.17, 143.0, 14301.563340800043, 889, 79)}",3.0,0.0,29.666666666666668,3.0,0
891,9433,519,48,5,"{(6055, 817): (145.44, 65.7, 6678.258589043074, 890, 99), (5216, 7281): (170.29, 131.87, 13131.621812145342, 890, 81)}",2.0,0.0,29.7,2.0,0
